Head,RightShoulder,RightArm,RightForeArm,RightHand,LeftShoulder,LeftArm,LeftForeArm,LeftHand,Hip,RightUpLeg,RightLeg,RightFoot,LeftUpLeg,LeftLeg,LeftFoot
17.51753,3.615505,75.07767,84.97629,33.30834,7.160405,54.46185,112.333,20.20049,10.90179,46.01242,78.33132,18.80925,19.48926,18.93864,20.15022
18.56593,3.855049,73.90632,85.39635,33.45681,7.171006,55.41809,111.6756,20.25537,11.01439,45.91499,71.81283,19.61461,19.432,20.90293,36.87629
19.49866,4.264431,72.52793,85.8438,33.63824,7.630831,56.10526,110.7229,19.76095,11.2514,45.74233,65.63223,19.99199,19.36296,23.82687,37.67494
20.33747,4.651652,71.21223,86.05389,33.80653,8.214647,56.67819,109.2162,19.13434,11.54625,45.41369,59.50457,20.16697,19.31424,27.33034,36.75895
21.06482,4.990723,69.94083,85.93374,33.90934,8.676668,57.04115,107.3076,19.27948,11.72515,44.2959,52.52306,20.40611,19.17137,31.21182,34.82612
21.68591,5.274454,68.97207,85.53339,33.81828,8.788275,57.01428,106.1964,19.48479,11.60889,42.08674,44.45884,19.44681,19.05511,35.09626,32.60423
22.23269,5.70161,67.74397,85.01546,33.8368,8.511398,57.17719,105.0527,19.48826,11.31768,39.41188,35.62688,20.25611,18.74418,39.06828,30.40472
22.68809,6.300654,66.46516,84.4814,34.02351,7.872533,56.88137,106.6179,19.43941,11.01368,37.04223,28.62124,22.29382,18.76757,43.0341,28.58936
23.18422,7.425451,65.15451,83.99922,34.11026,6.899494,57.57007,105.4326,19.2184,10.80661,34.99094,21.29934,23.04116,18.66314,47.06265,27.22008
23.73116,8.79576,64.01659,84.31681,34.27026,5.855542,58.1047,106.5813,18.94312,10.61938,33.17113,15.1531,23.38543,18.33814,51.07867,23.71657
24.76297,9.939366,62.27304,85.44038,34.80069,5.608426,58.21841,106.7874,19.27474,10.08822,30.28355,7.786798,22.676,16.86867,59.39084,21.05102
25.20023,9.915369,61.56765,86.29815,35.07253,6.224253,57.78957,105.6742,19.34101,9.595832,28.24855,5.328067,22.87646,16.16515,63.6617,20.83844
25.69501,9.78049,61.14829,86.482,35.32558,6.947793,57.71312,99.66194,17.92289,9.595832,27.51168,0.5934709,23.42894,14.97804,67.08583,29.99127
26.27052,9.594524,61.20375,86.75683,35.51499,7.656653,58.11896,97.90793,17.88404,9.595832,29.08162,5.940904,24.13026,13.99306,71.63154,30.90243
26.59332,9.588397,64.39149,81.66582,34.40777,8.445704,58.62828,95.96841,17.92938,8.999603,29.37461,9.235153,23.13253,14.08439,76.04847,31.54492
27.2502,10.06387,65.03416,81.47659,33.31313,9.533897,59.15747,93.94772,18.02333,6.642496,28.35801,12.53721,21.18873,16.53956,80.66432,31.79167
27.94113,12.0056,65.05517,79.31544,34.47274,10.62897,59.78324,91.88531,18.13332,5.308486,28.5508,12.66808,21.66316,17.28795,85.32678,31.51717
28.78906,14.94325,64.82991,76.86339,35.65699,11.83742,60.2465,89.85629,18.2129,4.28896,27.40976,12.2635,18.7767,17.90143,90.28083,30.1813
29.57164,16.76549,65.05601,76.10252,38.52497,12.97165,60.37529,90.83089,19.09423,3.652984,26.12402,18.84341,23.28956,18.5974,93.79686,29.95641
30.13806,18.07519,65.20968,75.28385,38.70613,13.52502,60.13227,91.81338,20.55464,3.473948,24.99192,21.61933,25.53695,18.12369,98.5327,29.40479
30.71534,18.93777,65.02096,78.60494,35.55445,14.06041,59.72553,89.71976,20.24597,3.96062,24.83601,26.22934,21.52589,18.54635,100.7318,30.1602
31.26185,19.34068,65.08012,77.62029,35.13603,14.70889,59.38692,87.73541,20.5943,4.548517,24.50629,31.20263,18.97961,18.22183,103.2595,30.76569
30.59027,19.5305,65.36172,77.06741,34.5524,15.12256,58.80141,80.15918,19.18859,5.414942,24.83448,35.33235,10.80871,17.70088,107.6025,29.30799
29.95435,19.89694,65.90608,77.3373,33.97227,15.31444,58.43443,80.29515,20.72943,6.638486,25.38682,37.85122,13.34941,17.22394,112.1819,27.28931
30.44127,20.7522,66.40358,80.2115,33.03965,15.0815,57.04758,82.43925,22.47522,9.19451,25.63141,41.76625,19.8398,15.5757,116.808,24.89799
33.35866,20.65981,66.30712,81.82655,32.79545,16.00208,56.67416,84.05906,23.17212,11.27173,23.45479,41.51161,21.8228,14.8557,117.1982,23.00348
34.11879,20.57572,65.89651,83.64213,32.55806,17.22476,56.55278,85.8919,23.8748,11.76447,23.05812,40.88229,23.01484,15.1825,118.1085,20.22684
